"Time","Boost pressure","Engine oil pressure","Engine oil level","Engine oil level","Cam position","TAG"
"sec","mbar","bar","l","mm","deg."," "
128.42,1004.0000,2.4400,4.4360,66.8000,129.7500,""
128.74,1004.0000,2.4400,4.4360,66.8000,129.8800,""
129.09,1004.0000,2.4400,4.4360,66.8000,309.7500,""
129.47,1004.0000,2.4400,4.4360,66.8000,634.1900,""
129.86,1004.0000,2.4400,4.4360,66.7000,129.8800,""
130.22,1004.0000,2.4400,4.4360,66.7000,453.8800,""
130.59,1004.0000,2.4400,4.4360,66.7000,561.0600,""
130.96,1004.0000,2.4400,4.4360,66.7000,129.8800,""
131.33,1004.0000,2.4400,4.4360,66.7000,309.7500,""
131.66,1004.0000,2.4400,4.4360,66.7000,309.8800,""
132.06,1004.0000,2.4400,4.4360,66.7000,129.8800,""
132.40,1004.0000,2.4400,4.4360,66.7000,129.7500,""
132.75,1004.0000,2.4400,4.4360,66.7000,309.7500,""
133.10,1010.0000,2.4400,4.4360,66.7000,561.0600,""
133.46,1010.0000,2.4400,4.4360,66.7000,634.1900,""
133.82,1004.0000,2.4400,4.4360,66.7000,129.8800,""
134.21,1004.0000,2.4400,4.4360,67.3000,454.0000,""
134.58,1004.0000,2.4400,4.4360,67.3000,21.0000,""
134.94,1004.0000,2.4400,4.4360,67.3000,129.7500,""
135.34,1004.0000,2.4400,4.4360,67.3000,454.0000,""
135.68,1004.0000,2.4400,4.4360,67.3000,634.2500,""
136.05,1004.0000,2.4400,4.4360,67.3000,129.8800,""
136.40,1004.0000,2.4000,4.4360,67.3000,273.3800,""
136.77,1004.0000,2.4400,4.4360,67.3000,454.0000,""
137.14,1004.0000,2.4400,4.4360,67.3000,21.0000,""
137.54,1004.0000,2.4400,4.4360,67.3000,309.7500,""
137.90,1004.0000,2.4400,4.4360,67.3000,561.5000,""
138.27,1004.0000,2.4400,4.4360,66.7000,93.8800,""
138.66,1004.0000,2.4400,4.4360,66.7000,309.6900,""
139.04,1004.0000,2.4400,4.4360,66.0000,634.0600,""
139.46,1004.0000,2.4400,4.4360,66.0000,309.7500,""
139.84,1004.0000,2.4400,4.4360,66.0000,634.0600,""
140.22,1004.0000,2.4400,4.4360,65.8000,129.8800,""
140.54,1004.0000,2.4400,4.4360,65.8000,129.8800,""
